dataset_id,category,subcategory,indicator,industry,region,year_label,year_num,fiscal_or_calendar,value,unit
employment_by_industry_official,産業,就業者,就業者数,総数,西条市,平成27年,2015,census,51081,人
employment_by_industry_official,産業,就業者,就業者数,総数,西条市,令和2年,2020,census,49278,人
employment_by_industry_official,産業,就業者,就業者数,第1次産業,西条市,平成27年,2015,census,3811,人
employment_by_industry_official,産業,就業者,就業者数,第1次産業,西条市,令和2年,2020,census,3413,人
employment_by_industry_official,産業,就業者,就業者数,農業・林業,西条市,平成27年,2015,census,3628,人
employment_by_industry_official,産業,就業者,就業者数,農業・林業,西条市,令和2年,2020,census,3299,人
employment_by_industry_official,産業,就業者,就業者数,うち農業,西条市,平成27年,2015,census,3557,人
employment_by_industry_official,産業,就業者,就業者数,うち農業,西条市,令和2年,2020,census,3223,人
employment_by_industry_official,産業,就業者,就業者数,漁業,西条市,平成27年,2015,census,183,人
employment_by_industry_official,産業,就業者,就業者数,漁業,西条市,令和2年,2020,census,114,人
employment_by_industry_official,産業,就業者,就業者数,第2次産業,西条市,平成27年,2015,census,16186,人
employment_by_industry_official,産業,就業者,就業者数,第2次産業,西条市,令和2年,2020,census,16006,人
employment_by_industry_official,産業,就業者,就業者数,鉱業等,西条市,平成27年,2015,census,15,人
employment_by_industry_official,産業,就業者,就業者数,鉱業等,西条市,令和2年,2020,census,14,人
employment_by_industry_official,産業,就業者,就業者数,建設業,西条市,平成27年,2015,census,4712,人
employment_by_industry_official,産業,就業者,就業者数,建設業,西条市,令和2年,2020,census,4623,人
employment_by_industry_official,産業,就業者,就業者数,製造業,西条市,平成27年,2015,census,11459,人
employment_by_industry_official,産業,就業者,就業者数,製造業,西条市,令和2年,2020,census,11369,人
employment_by_industry_official,産業,就業者,就業者数,第3次産業,西条市,平成27年,2015,census,29752,人
employment_by_industry_official,産業,就業者,就業者数,第3次産業,西条市,令和2年,2020,census,29358,人
employment_by_industry_official,産業,就業者,就業者数,電気ガス水道,西条市,平成27年,2015,census,293,人
employment_by_industry_official,産業,就業者,就業者数,電気ガス水道,西条市,令和2年,2020,census,313,人
employment_by_industry_official,産業,就業者,就業者数,情報通信業,西条市,平成27年,2015,census,220,人
employment_by_industry_official,産業,就業者,就業者数,情報通信業,西条市,令和2年,2020,census,209,人
employment_by_industry_official,産業,就業者,就業者数,運輸郵便業,西条市,平成27年,2015,census,2375,人
employment_by_industry_official,産業,就業者,就業者数,運輸郵便業,西条市,令和2年,2020,census,2383,人
employment_by_industry_official,産業,就業者,就業者数,卸売小売業,西条市,平成27年,2015,census,6793,人
employment_by_industry_official,産業,就業者,就業者数,卸売小売業,西条市,令和2年,2020,census,6301,人
employment_by_industry_official,産業,就業者,就業者数,金融保険業,西条市,平成27年,2015,census,823,人
employment_by_industry_official,産業,就業者,就業者数,金融保険業,西条市,令和2年,2020,census,720,人
employment_by_industry_official,産業,就業者,就業者数,不動産業,西条市,平成27年,2015,census,466,人
employment_by_industry_official,産業,就業者,就業者数,不動産業,西条市,令和2年,2020,census,487,人
employment_by_industry_official,産業,就業者,就業者数,学術専門,西条市,平成27年,2015,census,1118,人
employment_by_industry_official,産業,就業者,就業者数,学術専門,西条市,令和2年,2020,census,1139,人
employment_by_industry_official,産業,就業者,就業者数,宿泊飲食,西条市,平成27年,2015,census,2213,人
employment_by_industry_official,産業,就業者,就業者数,宿泊飲食,西条市,令和2年,2020,census,2018,人
employment_by_industry_official,産業,就業者,就業者数,生活娯楽,西条市,平成27年,2015,census,1653,人
employment_by_industry_official,産業,就業者,就業者数,生活娯楽,西条市,令和2年,2020,census,1555,人
employment_by_industry_official,産業,就業者,就業者数,教育,西条市,平成27年,2015,census,1978,人
employment_by_industry_official,産業,就業者,就業者数,教育,西条市,令和2年,2020,census,2034,人
employment_by_industry_official,産業,就業者,就業者数,医療福祉,西条市,平成27年,2015,census,7340,人
employment_by_industry_official,産業,就業者,就業者数,医療福祉,西条市,令和2年,2020,census,7603,人
employment_by_industry_official,産業,就業者,就業者数,複合サービス,西条市,平成27年,2015,census,788,人
employment_by_industry_official,産業,就業者,就業者数,複合サービス,西条市,令和2年,2020,census,705,人
employment_by_industry_official,産業,就業者,就業者数,その他サービス,西条市,平成27年,2015,census,2203,人
employment_by_industry_official,産業,就業者,就業者数,その他サービス,西条市,令和2年,2020,census,2392,人
employment_by_industry_official,産業,就業者,就業者数,公務,西条市,平成27年,2015,census,1489,人
employment_by_industry_official,産業,就業者,就業者数,公務,西条市,令和2年,2020,census,1499,人
employment_by_industry_official,産業,就業者,就業者数,分類不能,西条市,平成27年,2015,census,1332,人
employment_by_industry_official,産業,就業者,就業者数,分類不能,西条市,令和2年,2020,census,501,人
